states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.971242   -0.25261772],1,[-4.7175264  5.737836 ],0,0,[0.00002879 0.99997121]
[ 0.972432   -0.03259103],1,[-4.0262465  5.195156 ],0,0,[0.00009889 0.99990111]
[0.9637282  0.23610924],1,[-3.1410663  4.4790125],0,0,[0.00049026 0.99950974]
[0.8402276  0.55625784],1,[-1.6299915  3.0308166],0,0,[0.00937018 0.99062982]
[-0.13422872  0.8068456 ],1,[ 3.0940807 -2.7188587],0,0,[0.99702027 0.00297973]
[-0.62298757  0.5554479 ],0,[ 4.2705827 -4.6619496],0,0,[0.99986799 0.00013201]
[-0.79420143  0.42516083],0,[ 4.549142  -5.2372837],0,1,[0.99994379 0.00005621]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.5711784  -0.07331466],1,[-2.536279   3.1866353],0,0,[0.00325951 0.99674049]
[ 0.712771  -0.3342938],0,[-3.9331536  4.5823545],0,0,[0.0002003 0.9997997]
[ 0.87267125 -0.19415185],1,[-4.134893   5.0736055],0,0,[0.00010017 0.99989983]
[ 0.9224946  -0.00231711],1,[-3.7290056  4.8570147],0,0,[0.00018666 0.99981334]
[0.91330135 0.25293812],1,[-2.884386  4.171841],0,0,[0.00086128 0.99913872]
[0.70090723 0.55636775],1,[-1.0675753  2.2978811],0,0,[0.03339265 0.96660735]
[-0.24681829  0.7793701 ],1,[ 3.4613855 -3.2423992],0,0,[0.99877524 0.00122476]
[-0.71491843  0.7953138 ],1,[ 5.4003096 -5.7438316],0,0,[0.99998554 0.00001446]
[-0.8330897  0.7708625],1,[ 5.7997007 -6.3042707],0,0,[0.99999446 0.00000554]
[-0.8719847   0.76195973],1,[ 5.928452 -6.486601],0,0,[0.99999594 0.00000406]
[-0.8880457  0.7612501],1,[ 5.991003  -6.5692925],0,0,[0.99999649 0.00000351]
[-0.89573735  0.76352316],1,[ 6.0292244 -6.615412 ],0,0,[0.99999678 0.00000322]
[-0.8998467  0.7668927],1,[ 6.0564632 -6.645429 ],0,0,[0.99999695 0.00000305]
[-0.9625984  0.7473295],0,[ 6.2477355 -6.926622 ],0,1,[0.9999981 0.0000019]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[ 0.48824212 -0.23060523],0,[-2.699292   3.1429076],0,0,[0.00289405 0.99710595]
